Source,Target
nyo,nyọ
koruapu,koruapụ
ma,ma
igbiki,igbiki
mi,mị
oki,ọkị
se,se
ini,ini
duko,ḍuko
ini,ini
piri,pịrị
oku,ọkụ
mi,mị
nwo,nwọ
mieme,mịẹmẹ
okibo,ọkịḅo
mimgba,mịmgba
ene,ene
mi,mị
la,la
soni,sọnị
juapu,juapụ
ma,ma
mi,mị
ini,ini
pa,pa
se,se
ani,anị
duko,ḍuko
wasama,wasama
ari,arị
oku-e,ọkụ-ẹ
jizos,jizọs
be,ḅe
bu,ḅụ
se,se
oria,oria
obudukoapu,ọḅụḍukoapụ
ma,ma
dieme,ḍiemẹ
obuduko,ọḅụḍuko
oyighoriapu,oyighọrịapụ
finji,fịnjị
ma,ma
galili,galili
chingi,chịngị
mi,mi
nwo,nwọ
mume,mumẹ
jizos,jizọs
be,ḅe
duko,ḍuko
ini,ini
piri,pịrị
nyo,nyọ
mi,mị
ini,ini
ori,ori
ori,ọrị
siki,sịkị
ini,ini
kpereki,kpẹrẹkị
o,ọ
tekeme,tẹkẹmẹ
inia,inia
bie,ḅie
ton-apu,tọn-apụ
makubie,makuḅie
nyaname,nyanamẹ
nwo,nwọ
be,ḅẹ
soni,sọnị
min,mịn
jizos,jizọs
kraist,kraịst
be,ḅe
pakabo,pakaḅo
furo,furo
mi,mị
simeoku-e,simeọkụ-ẹ
devid,devid
furo,furo
bie,ḅie
pakabo,pakaḅo
bo,ḅọ
be,ḅe
devid,devid
ani,anị
ebraham,ebraham
furo,furo
bie,ḅie
pakabo,pakaḅo
bo,ḅọ
be,ḅe
juda,juda
be,ḅe
perez,pẹrẹz
be,ḅe
na,na
zera,zẹra
be,ḅe
na,na
yime,yimẹ
(inia,(inia
nyengi,nyengi
ma,ma
ani,anị
tema,tema
ma-e),ma-ẹ)
perez,pẹrẹz
be,ḅe
hezron,hẹzrọn
be,ḅe
yime,yimẹ
hezron,hẹzrọn
be,ḅe
ram,ram
be,ḅe
yime,yimẹ
ram,ram
be,ḅe
aminadab,amịnadab
be,ḅe
yime,yimẹ
aminadab,amịnadab
be,ḅe
nason,nasọn
be,ḅe
yime,yimẹ
nason,nasọn
be,ḅe
salmon,salmọn
be,ḅe
yime,yimẹ
salmon,salmọn
be,ḅe
boaz,boaz
be,bẹ
yime,yimẹ
(rehab,(rehab
ma,ma
nyongoro-e),nyọngọrọ-ẹ)
boaz,boaz
be,ḅe
obed,obed
be,ḅe
yime,yimẹ
(rufu,(rufu
ma,ma
nyongoro-e),nyọngọrọ-ẹ)
obed,obed
be,ḅe
jesi,jẹsi
be,ḅe
yime,yimẹ
jesi,jẹsi
be,ḅe
amanyana,amanyana
devid,devid
be,ḅe
be,ḅe
yime,yimẹ
devid,devid
be,ḅe
solomon,solomọn
be,ḅe
yime,yimẹ
(nyongoro,(nyọngọrọ
ma,ma
ani,anị
yuraya,yuraya
taro,tarọ
ma-e),ma-ẹ)
solomon,solomọn
be,ḅe
rehobuam,rẹhobuam
be,ḅe
yime,yimẹ
rehobuam,rẹhobuam
be,ḅe
abaija,abaịja
be,ḅe
yime,yimẹ
abaija,abaịja
be,ḅe
asa,asa
be,ḅe
yime,yimẹ
asa,asa
be,ḅe
jehosiafat,jehosịafat
be,ḅe
yime,yimẹ
jehosiafat,jehosịafat
be,ḅe
joram,joram
be,ḅe
yime,yimẹ
joram,joram
be,ḅe
ozaya,ozaya
be,ḅe
yime,yimẹ
ozaya,ozaya
be,ḅe
jotam,jotam
be,ḅe
yime,yimẹ
jotam,jotam
be,ḅe
ehaz,ehaz
be,ḅe
yime,yimẹ
ehaz,ehaz
be,ḅe
hezikaya,hẹzịkaya
be,ḅe
yime,yimẹ
hezikaya,hẹzịkaya
be,ḅe
manasi,manasị
be,ḅe
yime,yimẹ
manasi,manasị
be,ḅe
amon,amọn
be,ḅe
yime,yimẹ
amon,amọn
be,ḅe
josaya,josaya
be,ḅe
yime,yimẹ
josaya,josaya
be,ḅe
jekonaya,jekọnaya
be,ḅe
na,na
oria,oria
owuapuminapu,owuapụmịnapụ
ma,ma
na,na
yime,yimẹ
ani,anị
ini,ini
izrel-apu,izrẹl-apụ
ma,ma
nwo,nwọ
kun,kun
babilon,babilọn
mun,mun
siki,sịkị
mi,mị
bu,ḅụ
ini,ini
tomoni,tomoni
ma,ma
kun,kun
babilon,babilọn
mun,mun
boro,ḅọrọ
so,so
siki,sịkị
jekonaya,jekọnaya
be,ḅe
shealtiel,shealtiẹl
be,ḅe
yime,yimẹ
shealtiel,shealtiẹl
be,ḅe
zerubabel,zerubabẹl
be,ḅe
yime,yimẹ
zerubabel,zerubabẹl
be,ḅe
abiud,abiud
be,ḅe
yime,yimẹ
abiud,abiud
be,ḅe
eliakim,elịakịm
be,ḅe
yime,yimẹ
eliakim,elịakịm
be,ḅe
azo,azọ
be,bẹ
yime,yimẹ
azo,azọ
be,ḅe
zadok,zadọk
be,ḅe
yime,yimẹ
zadok,zadọk
be,ḅe
akim,akịm
be,ḅe
yime,yimẹ
akim,akịm
be,ḅe
eliud,eliud
be,ḅe
yime,yimẹ
eliud,eliud
be,ḅe
elieza,elieza
be,ḅe
yime,yimẹ
elieza,elieza
be,ḅe
matan,matan
be,ḅe
yime,yimẹ
matan,matan
be,ḅe
jekob,jekọb
be,ḅe
yime,yimẹ
jekob,jekọb
be,ḅe
josef,josẹf
be,ḅe
yime,yimẹ
meri,meri
ma,ma
de,de
be,ḅe
jizos,jizọs
nyengi,nyengi
ma,ma
ini,ini
mesaya,mẹsaya
se,se
chin,chịn
bo,ḅọ
be,ḅe
ebraham,ebraham
be,ḅe
bu,ḅụ
saki,sakị
mun,mun
devid,devid
be,ḅe
la,la
oyi,oyi
inein-a,inein-a
buo,ḅụọ
finji-e,finji-ẹ
devid,devid
be,ḅe
bu,ḅụ
okimun,ọkịmun
ini,ini
tomoni,tomoni
ma,ma
kun,kun
so,so
babilon,babilọn
mun,mun
siki,sịkị
mi,mị
la,la
piki,pịkị
oyi-inein-a,oyi-inein-a
buo,ḅụọ
finji-e,finji-ẹ
ani,anị
siki,sịkị
mi,mị
okimun,okịmun
ini,ini
kraist,kraịst
be,ḅe
yi,yi
siki,sịkị
mi,mị
la,la
piki,pịkị
oyi-inein-a,oyi-inein-a
buo,ḅụọ
finji-e,finji-ẹ
jizos,jizọs
kraist,kraịst
be,ḅe
yi,yi
mi,mị
min,mịn
ini,ini
weri,wẹrị
jizos,jizọs
kraist,kraịst
be,ḅe
yi,yi
oku,ọkụ
mi-e,mị-ẹ
josef,josẹf
be,ḅe
jizos,jizọs
nyengi,nyengi
meri,meri
ma,ma
nwo,nwọ
olome,ọlọmẹ
ari,árị
na,na
simebia,simeḅịa
erechi,ẹrẹchị
okuma,ọkụma
ma,ma
ini,ini
simeka-ogbo,simeka-ogbo
a,á
dokibo,ḍọkịḅo
orime,ọrịmẹ
na,na
a,á
sime,sime
konsam,kọnsam
fiafia,fịafịa
teme,tẹmẹ
be,ḅe
kuro,kụrọ
bu,ḅụ
josef,josẹf
be,ḅe
siki,sịkị
mamgba,mamgba
karakaraye,karakaraye
miemiebo-e,mịẹmịẹḅọ-ẹ
ani-erechi,anị-ẹrẹchị
o,ò
bike,ḅikẹ
ori,ori
amaogbo,amaogbo
meri,meri
ma,ma
bugererema,ḅụgererema
ani,anị
gose,gose
o,ọ̀
tonme,tọnmẹ
na,na
o,ọ̀
boima,ḅọịma
abu,áḅụ
barasin,ḅarasin
bia,ḅịa
o,ọ̀
min,mịn
mi,mị
nwo,nwọ
koromari,koromarị
ogbo,ogbo
nyanabo,nyanaḅọ
be,ḅe
enjelbo,enjẹlḅọ
dawoju,ḍawọju
bu,ḅụ
se,se
o,ò
die,ḍie
se,se
nwo,nwọ
beme,ḅẹmẹ
josef,josẹf
devid,devid
furo,furo
bie,ḅie
bo,ḅọ
balafa,ḅalafa
ma,ma
meri,meri
ma,ma
oki,ọkị
se,se
i,ị́
ta,ta
mie,mịẹ
fiafia,fịafịa
tamuno,tamụnọ
teme,tẹmẹ
be,ḅe
bu,ḅụ
a,á
boro,ḅọrọ
min,mịn
sime,sime
mi,mị
konme,kọnmẹ
ari,arị
owutoku,owutọkụ
yibia,yiḅịa
jizos,jizọs
i,ị́
nwose,nwọse
o,ọ
chinbia,chịnḅịa
-,-
aniatibi,anịatịḅị
ori,ori
oria,oria
tomoni,tomoni
ma,ma
nwo,nwọ
duaboromabia,ḍụaḅọrọmaḅịa
inia,inia
sima,sima
bie,ḅiẹ
betlihem,bẹtlihẹm
ama,ama
mi,mị
bie,ḅie
ini,ini
jizos,jizọs
be,ḅe
yime,yimẹ
judia,judia
se,sẹ
mi,mị
bie,ḅie
herod,hẹrọd
be,ḅe
amanyana,amanyana
bu,ḅụ
sime,sime
siki,sịkị
ini,ini
o,ò
yi,yi
ma,ma
boloka,ḅọlọka
simeogbo,simeogbo
lolia,lolia
dawonemiapu,ḍawọnemiapụ
irua,ịrụa
pakapaka,pakapaka
nyo,nyọ
mi,mị
bu,ḅụ
weri,wẹrị
jerusalem,jerusalẹm
bome,ḅomẹ
se,se
gbelame,gbelamẹ
nde,nde
ini,ini
yi,yi
juapu,juapụ
amanyanabo,amanyanaḅọ
sobia,sọḅịa
toku,tọkụ
be,ḅe
sime,sime
nyo,nyọ
wa,wa
oria,oria
lolia,lolia
nwo,nwọ
orime,ọrịmẹ
ani,anị
irua,ịrụa
pakapaka,pakapaka
nyo,nyọ
mi,mị
bu,ḅụ
weri,wẹrị
pakabo,pakaḅo
siki,sịkị
se,se
wa,wa
bo,ḅo
osi,osi
se,se
o,ọ̀
piri-e,pịrị-ẹ
bome,ḅomẹ
amanyana,amanyana
herod,hẹrọd
be,ḅe
min,mịn
bere,ḅẹrẹ
mi,mị
na,na
siki,sịkị
ani,anị
opu,opu
bubalabala,ḅụḅalaḅala
se,se
o,ọ̀
pirime,pịrịmẹ
ani,anị
piki,pịkị
oko,ọkọ
sime,sime
bebo,ḅẹḅọ
bebo,ḅẹḅọ
pirime,pịrịmẹ
jerusalem,jerusalẹm
mi,mị
bie,ḅie
o,ọ̀
tibini,tịḅịnị
agbamieapu,agbamịẹapụ
ma,ma
na,na
oloko,oloko
dieapu,ḍieapụ
mamgba,mamgba
na,na
nwo,nwọ
chin,chịn
kobirima,koḅirima
se,se
ini,ini
gbelame,gbelamẹ
nde,nde
anga,anga
ini,ini
mesaya,mẹsaya
be,ḅe
yi,yi
be,ḅe
ini,ini
nwo,nwọ
pekereme,pẹkẹrẹmẹ
betlihem,bẹtlihẹm
ama,ama
judia,judia
se,sẹ
mi,mị
bie,ḅie
aniatibi,anịatịbị
mi,mị
ikiankorobo,ịkịankoroḅọ
be,ḅe
giein,gịẹịn
oku-e,ọkụ-ẹ
betlihem,bẹtlihẹm
judia,judia
se,sẹ
mi,mị
bie,ḅie
iri,ị́rị
ngisi,ngịsị
bokateinke,ḅokatẹịnkẹ
judia,judia
bie,ḅie
toroko,tọrọkọ
da,da
opuama,opuama
ma,ma
ogboku,ogboku
aniatibi,anịatịḅị
i,ị́
bie,ḅie
ani,anị
torokodabo,tọrọkọdaḅọ
pakabobia,pakaḅoḅịa
ye-e,ye-ẹ
ani,anị
iya,ị̀ya
tomoni,tomoni
izrel-apu,izrẹl-apụ
ma,ma
datekeremabia,datekeremaḅịa
bo,ḅọ
ani,anị
herod,hẹrọd
be,ḅe
boima,ḅọịma
iruapakapaka,ịrụapakapaka
nyo,nyọ
bu,ḅụ
weri,wẹrị
bo,ḅo
