,dic,lex
0,dieme,DD I E M EH
1,dukome,DD U K O M EH
2,naame,N A A M EH
3,buchuaye,BB UH TS UH A Y E
4,koruapu,K O R U A P UH
5,opuama,O P U A M A
6,ikeasun,I K E A S UH N
7,dokibosa,DD OH K IH BB O S A
8,puko,P UH K OH
9,bubalabala,BB UH BB A L A BB A L A
10,tonari,T OH N A R IH
11,fiye,F IH Y E
12,beinmabia,BB E I N M A BB IH A
13,kobirima,K O BB I R I M A
14,rehobuam,R EH H O B U A M
15,enjelbo,E N DZ EH L BB OH
16,ogono,OH G OH N OH
17,dokimabia,D OH K IH M A BB IH A
18,kubiekuroma,K U BB I E K UH R OH M A
19,okue,OH K UH EH
20,soni,S OH N IH
21,jekonaya,DZ E K OH N A Y A
22,josef,DZ O S EH F
23,miese,M IH EH S E
24,torokodabo,T OH R OH K OH D A BB OH
25,sobie,S O BB I E
26,minea,M I N E A
27,epele,E P E L E
28,se,S EH
29,firimame,F IH R IH M A M EH
30,oru,O R U
31,nde,N D E
32,tekeme,T EH K EH M EH
33,yee,Y E EH
34,devid,D E V I D
35,diki,DD I K I
36,pekere,P EH K EH R EH
37,la,L A
38,dieapu,DD I E A P UH
39,doki,DD OH K IH
40,tamunobere,T A M UH N OH BB EH R EH
41,osirosiroba,O S I R O S I R O BB A
42,oyi,O Y I
43,anieso,A N IH E S O
44,shealtiel,S H E A L T I EH L
45,matan,M A T A N
46,biebele,BB I E BB EH L EH
47,ozaya,O Z A Y A
48,kokoma,K OH K OH M A
49,be,B EH
50,obuju,OH BB UH DZ UH
51,pirisa,P IH R IH S A
52,irua,IH R UH A
53,obed,O B E D
54,dadikibia,DD A DD I K I BB IH A
55,berijineme,BB E R I DZ I N E M EH
56,jerusalem,DZ E R U S A L EH M
57,gbinbia,GB I N BB IH A
58,ibu,IH0 BB UH
59,birikunye,BB I R I K U N Y E
60,kubie,K U BB I E
61,bugbeinke,BB UH GB EH IH N K EH
62,ngisi,N G IH S IH
63,meri,M E R I
64,karakaraye,K A R A K A R A Y E
65,mieme,M IH EH M EH
66,jizos,DZ I Z OH S
67,chie,TS IH EH
68,torukweinma,T OH R UH K W E I N M A
69,nyengi,N Y E N G I
70,goyegoye,G O Y E G O Y E
71,rema,R E M A
72,chuabia,TS UH A BB IH A
73,fiema,F I E M A
74,boloka,BB OH L OH K A
75,mun,M U N
76,okuma,OH K UH M A
77,ibi,I BB I
78,beme,BB EH M EH
79,tisam,T I S A M
80,obuduko,OH BB UH DD U K O
81,chingi,TS IH N G IH
82,amanyanabo,A M A N Y A N A BB OH
83,okwein,OH K W EH IH N
84,mama,M A M A
85,sibupikisam,S I BB UH P IH K IH S A M
86,zera,Z EH R A
87,simeokue,S I M E OH K UH EH
88,owubonemika,O W U BB OH N E M I K A
89,betlihem,B EH T L I H EH M
90,gbin,GB I N
91,pakumabome,P A K UH M A BB O M EH
92,bee,BB E EH
93,vinpiki,V I N P IH K IH
94,gose,G O S E
95,wa,W A
96,dawoju,DD A W OH DZ U
97,tonme,T OH N M EH
98,pekereme,P EH K EH R EH M EH
99,lame,L A M EH
100,asa,A S A
101,ehaz,E H A Z
102,jon,DZ OH N
103,oko,OH K OH
104,kunoma,K U N O M A
105,pa,P A
106,olome,OH L OH M EH
107,kienma,K IH EH N M A
108,ini,I N I
109,pakabome,P A K A BB O M EH
110,opuso,O P U S OH
111,finji,F IH N DZ IH
112,magbolu,M A GB OH L UH
113,owuabe,O W U A BB EH
114,dukoari,DD U K O A R IH
115,jotam,DZ O T A M
116,piriabe,P IH R IH A BB EH
117,birikunme,BB I R I K U N M EH
118,mono,M OH N OH
119,bin,B I N
120,karakaramasam,K A R A K A R A M A S A M
121,duko,DD U K O
122,mesi,M E S I
123,dawo,DD A W OH
124,saki,S A K IH
125,iri,IH2 R IH
126,simeogbo,S I M E O GB O
127,juda,DZ U D A
128,miemieboe,M IH EH M IH EH BB OH EH
129,de,D E
130,chinmgbolu,TS IH N M GB OH L UH
131,solomon,S O L O M OH N
132,fura,F U R A
133,ta,T A
134,yi,Y I
135,ijipt,I DZ I P T
136,perez,P EH R EH Z
137,dokibia,DD OH K IH BB IH A
138,oyighoriapu,O Y I G H OH R IH A P UH
139,balafame,B A L A F A M EH
140,pirime,P IH R IH M EH
141,jodan,DZ OH D A N
142,ton,T OH N
143,yesele,Y E S EH L EH
144,opuma,O P U M A
145,elieza,E L I E Z A
146,ele,E L E
147,owuapuawo,O W U A P UH A W OH
148,toku,T OH K UH
149,teme,T EH M EH
150,ibubeleme,IH BB UH BB EH L EH M EH
151,ari,A0 R I
152,kiri,K I R I
153,nengime,N EH N G IH M EH
154,erechi,EH R EH TS IH
155,dina,DD I N A
156,iruapakapaka,IH R UH A P A K A P A K A
157,kpekisam,KP E K I S A M
158,okimun,O K IH M U N
159,aria,A R IH A
160,pele,P EH L EH
161,obu,OH0 BB UH
162,boe,BB O EH
163,dawonemiapu,DD A W OH N E M I A P UH
164,nazaretbo,N A Z A R EH T BB OH
165,balafa,BB A L A F A
166,ikiankoroapu,IH K IH A N K O R O A P UH
167,ogboku,O GB O K U
168,dukuke,DD UH K UH K EH
169,jokuma,DZ O K U M A
170,zerubabel,Z E R U B A B EH L
171,kpereki,KP EH R EH K IH
172,igani,IH G A N IH
173,okúku,O K U2 K U2
174,piki,P IH K IH
175,owutoku,O W U T OH K UH
176,eliakim,E L IH A K IH M
177,gbeinyee,GB EH IH N Y E EH
178,ogu,O G U
179,koko,K O K O
180,barasin,BB A R A S I N
181,makubie,M A K U BB I E
182,hezikaya,H EH Z IH K A Y A
183,rehab,R E H A B
184,re,R E
185,iwo,I W O
186,bugererema,BB UH G E R E R E M A
187,eka,EH K A
188,duaboromabia,DD UH A BB OH R OH M A BB IH A
189,mioku,M IH OH K UH
190,maa,M A A
