,dic,lex
0,tomoni,T O M O N I
1,ọkị,OH K IH
2,joram,DZ O R A M
3,ịganị,IH G A N IH
4,pịrị,P IH R IH
5,ọ,OH
6,ḍụkụkẹ,DD UH K UH K EH
7,okúkú,O K U2 K U2
8,ḅụḅalaḅala,BB UH BB A L A BB A L A
9,sima,S I M A
10,ra,R A
11,ḅara,BB A R A
12,mịẹ,M IH EH
13,ḅọrọ,BB OH R OH
14,ọlọmẹ,OH L OH M EH
15,osi,O S I
16,ḍukomẹ,DD U K O M EH
17,ḅerijinemẹ,BB E R I DZ I N E M EH
18,pịkị,P IH K IH
19,ozaya,O Z A Y A
20,ọkọ,OH K OH
21,ḅa,BB A
22,hẹzịkaya,H EH Z IH K A Y A
23,ḅirikunmẹ,BB I R I K U N M EH
24,ḅiejuḍaḅọẹ,BB I E DZ U DD A BB OH EH
25,akịlọs,A K IH L OH S
26,tarọ,T A R OH
27,pịrịḅịa,P IH R IH BB IH A
28,opusọ,O P U S OH
29,muarị,M U A R IH
30,eliud,E L I U D
31,ò,O0
32,dachịẹmẹ,D A TS IH EH M EH
33,gbolomakẹ,GB O L O M A K EH
34,kọnmẹ,K OH N M EH
35,minea,M I N E A
36,josaya,DZ O S A Y A
37,opuama,O P U A M A
38,mamgba,M A M GB A
39,àri,A0 R I
40,arị,A R IH
41,pụkọ,P UH K OH
42,iderimaigoniapụ,I D E R I M A I G O N I A P UH
43,ḅẹmẹ,BB EH M EH
44,rẹhobuam,R EH H O B U A M
45,ḅe,BB E
46,ḍawọnemiapụ,DD A W OH N E M I A P UH
47,simeogbo,S I M E O GB O
48,owutịḅị,O W U T IH BB IH
49,ọkwẹịn,OH K W EH IH N
50,daḅẹ,D A BB EH
51,anịẹrẹchị,A N IH EH R EH TS IH
52,mịmgba,M IH M GB A
53,opuma,O P U M A
54,ineda,I N E D A
55,jehosịafat,DZ E H O S IH A F A T
56,si,S I
57,akpaka,A KP A K A
58,elieza,E L I E Z A
59,pakaḅoḅịa,P A K A BB O BB IH A
60,la,L A
61,yela,Y E L A
62,re,R E
63,ḅarasinsam,BB A R A S I N S A M
64,mịẹmịẹḅọẹ,M IH EH M IH EH BB OH EH
65,ẹka,EH K A
66,igoniapụ,I G O N I A P UH
67,nyengi,N Y E N G I
68,salmọn,S A L M OH N
69,ḍinma,DD I N M A
70,bẹ,B EH
71,kunoma,K U N O M A
72,ị̀,IH0
73,kraịst,K R A IH S T
74,pịrịaḅẹ,P IH R IH A BB EH
75,ḅarasin,BB A R A S I N
76,ọ̀ḅụ,OH0 BB UH
77,rufu,R U F U
78,kiri,K I R I
79,ànị,A0 N IH
80,pịrịmẹ,P IH R IH M EH
81,pakasomẹ,P A K A S O M EH
82,finji,F I N DZ I
83,balafamẹ,B A L A F A M EH
84,tịḅịnị,T IH BB IH N IH
85,galili,G A L I L I
86,jotam,DZ O T A M
87,ogboku,O GB O K U
88,nẹngịmẹ,N EH N G IH M EH
89,ị̀rị,IH0 R IH
90,ḅeinmaḅịa,BB E I N M A BB IH A
91,opu,O P U
92,apala,A P A L A
93,owutọkụ,O W U T OH K UH
94,bin,B I N
95,imanụẹl,I M A N UH EH L
96,yiḅịa,Y I BB IH A
97,ḅẹḅẹ,BB EH BB EH
98,mi,M I
99,ḍọkịmẹ,DD OH K IH M EH
100,abaịja,A B A IH DZ A
101,mengi,M E N G I
102,ini,I N I
103,ḍụaḅọrọmaḅịa,DD UH A BB OH R OH M A BB IH A
104,wa,W A
105,paka,P A K A
106,gonogono,G O N O G O N O
107,anịatịbị,A N IH A T IH B IH
108,sọḅịa,S OH BB IH A
109,lasa,L A S A
110,damaḅoarị,D A M A BB O A R IH
111,ye,Y E
112,da,D A
113,ikeasụn,I K E A S UH N
114,jekọb,DZ E K OH B
115,oru,O R U
116,de,D E
117,zẹra,Z EH R A
118,sẹlẹḅịa,S EH L EH BB IH A
119,ḅẹrẹ,BB EH R EH
120,ngịsị,N G IH S IH
121,gbinḅịa,GB I N BB IH A
122,anịatịḅị,A N IH A T IH BB IH
123,mẹsaya,M EH S A Y A
124,ịkịankoroḅọ,IH K IH A N K O R O BB OH
125,ogu,O G U
126,árị,A2 R IH
127,amanyana,A M A N Y A N A
128,azọ,A Z OH
129,rema,R E M A
130,tarị̀mẹ,T A R IH0 M EH
131,nasọn,N A S OH N
132,ḅọlọka,BB OH L OH K A
133,tọnarị,T OH N A R IH
134,tọn,T OH N
135,damamunma,D A M A M U N M A
136,ḅẹḅọ,BB EH BB OH
137,ọḅụḍukoapụ,OH BB UH DD U K O A P UH
138,ḅerẹ,BB E R EH
139,nwọse,NW OH S E
140,kpekisam,KP E K I S A M
141,ọḅụḍuko,OH BB UH DD U K O
142,ram,R A M
143,bakama,B A K A M A
144,nyanaḅọ,N Y A N A BB OH
145,ịrịayeẹ,IH R IH A Y E EH
146,sịkị,S IH K IH
147,mịn,M IH N
148,koruapụ,K O R U A P UH
149,mịọkụ,M IH OH K UH
150,ele,E L E
151,zerubabẹl,Z E R U B A B EH L
152,mengisaraḅọ,M E N G I S A R A BB OH
153,ọḅụjụ,OH BB UH DZ UH
154,kọkọmaye,K OH K OH M A Y E
155,ḍọkịḅosa,DD OH K IH BB O S A
156,finjiẹ,F I N DZ I EH
157,juda,DZ U D A
158,juapụ,DZ U A P UH
159,pẹkẹrẹmẹ,P EH K EH R EH M EH
160,ene,E N E
161,yuraya,Y U R A Y A
162,chụaka,TS UH A K A
163,owu,O W U
164,anịeso,A N IH E S O
165,rechẹl,R E TS EH L
166,ḍiepakụma,DD I E P A K UH M A
167,ojuapụra,O DZ U A P UH R A
168,fịafịa,F IH A F IH A
169,chịn,TS IH N
170,obed,O B E D
171,tarị,T A R IH
172,kọkọma,K OH K OH M A
173,ateli,A T E L I
174,pẹlẹ,P EH L EH
175,okịmun,O K IH M U N
176,oyighọrịapụ,O Y I G H OH R IH A P UH
177,kịẹnma,K IH EH N M A
178,ḅẹlẹmẹ,BB EH L EH M EH
179,rehab,R E H A B
180,anị,A N IH
181,mgba,M GB A
182,ḍin,DD I N
183,ḍuko,DD U K O
184,aịzaya,A IH Z A Y A
185,gbọrịḅọ,GB OH R IH BB OH
186,maẹ,M A EH
187,ḅịa,BB IH A
188,sịsẹ,S IH S EH
189,ḅọkọ,BB OH K OH
190,tọrụkweinma,T OH R UH K W E I N M A
191,nemi,N E M I
192,ọkụ,OH K UH
193,pẹrẹz,P EH R EH Z
194,fịrịmamẹ,F IH R IH M A M EH
195,ó,O2
196,simeḅịa,S I M E BB IH A
197,ọrịmẹ,OH R IH M EH
198,mị,M IH
199,jọdan,DZ OH D A N
200,ḅọrọma,BB OH R OH M A
201,tamụnọḅẹrẹ,T A M UH N OH BB EH R EH
202,pẹkẹrẹ,P EH K EH R EH
203,tọrọkọdaḅọ,T OH R OH K OH D A BB OH
204,koromarị,K O R O M A R IH
205,izrẹl,I Z R EH L
206,seni,S E N I
207,ḍaḍikiḅịa,DD A DD I K I BB IH A
208,nyọngọrọ,N Y OH N G OH R OH
209,devid,D E V I D
210,abiud,A B I U D
211,saraḅịa,S A R A BB IH A
212,zadọk,Z A D OH K
213,ḅerenimẹ,BB E R E N I M EH
214,ehaz,E H A Z
215,mun,M U N
216,na,N A
217,ḍiemẹ,DD I E M EH
218,wẹrị,W EH R IH
219,mumẹ,M U M EH
220,tọrọkọ,T OH R OH K OH
221,pịrịḅein,P IH R IH BB E I N
222,lamẹ,L A M EH
223,á,A2
224,ḅẹ,BB EH
225,ijipt,I DZ I P T
226,enjẹlḅọ,E N DZ EH L BB OH
227,tẹmẹ,T EH M EH
228,ḍọkịḅo,DD OH K IH BB O
229,amaogbo,A M A O GB O
230,chịnmẹ,TS IH N M EH
231,owuaḅẹ,O W U A BB EH
232,ḅirikunye,BB I R I K U N Y E
233,osirosiroḅa,O S I R O S I R O BB A
234,inia,I N I A
235,ori,O R I
236,fura,F U R A
237,ḍawu,DD A W U
238,omine,O M I N E
239,ḅịpị,BB IH P IH
240,mịẹmẹ,M IH EH M EH
241,oyiineina,O Y I I N E I N A
242,jekọnaya,DZ E K OH N A Y A
243,tẹkẹmẹ,T EH K EH M EH
