wav_filename,transcript,wav_filesize
data/pidgin/wav/B01___01_Matthew_____PCMTSCN2DA.wav,jisos kraist wey dem born for david and abraham famili na em stori bi dis   abraham born izik izik kon born jakop na jakop born juda and en brodas   juda born perez and zera wey en mama bi tamar perez born hezron and hezron kon born ram ram na amminadab papaamminadab born nahshon nahshon kon born salmon   salmon born boaz wey rahab bi en mama na boaz bi obed papa wey rut bi en mamaobed kon born jesse jesse born david wey bi izrel pipol king david born solomon wey uria wife bi en mama   solomon born rehoboamrehoboam naim bi abija papa and abija kon born asa   asa born jehoshaphat jehoshaphat kon born joram joram born uzzia uzzia born jotham jotham kon born ahaz wey born hezekia hezekia born manasse manasse naim bi amon papa and amon kon born josia   josia born jeconia and en brodas for di taim wey dem kari izrel pipol go bi slave for babylon   afta dem kari izrel pipol go babylon jeconia kon born shealtiel shealtiel kon bi zerubabel papa   zerubabel born abiud abiud naim bi eliakim papa eliakim kon born azor   azor born zadok zadok naim bi achim papa achim kon born eliud   eliud born eleazar wey bi matthan papa matthan kon born jakop   jakop born josef wey bi mary husban dis mary naim bi jisos kraist mama   so from abraham go rish david taim na fourteen generashon dey and from david taim go rish wen dem kari izrel pipol go babylon na fourteen tu and from dat taim go rish wen dem born jisos kraist na fourteen generashon e bi   dis na haw dem born jisos kraist wen mary en mama don redi to mari josef bifor dem bigin slip togeda mary kon si sey e don get bele wit holi spirit pawa josef wey won mari am na pesin wey dey fear god wel wel and bikos e nor won disgrace am e kon tink for en maind sey e nor go mari mary again   as e dey tink haw e go liv am god angel show ensef to am for dream kon tel am sey josef david pikin mak yu nor fear to mari mary bikos di pikin wey dey en bele na holi spirit gi am   e go born boy and yu go kol am jisos kraist bikos e go save en pipol from dia sin   dis tins go hapun as god profet tok   si di wuman wey neva slip wit man bifor go get bele and e go born boy and dem go kol amemmanuel wey min god dey wit us   wen josef wak up e kon du wetin god angel tel am so e kon mari mary   bot e nor slip wit am ontil mary born di pikin den e kon name am jisos kraist ,
data/pidgin/wav/B01___02_Matthew_____PCMTSCN2DA.wav,afta dem born jisos kraist for betlehem wey dey judea for di taim wey herod bi king som wise men from east kon go jerusalem  dey askwer di ju king wey dem jos born dey wi si di star wey tok abaut am so wi kom woship am   wetin dem tok so ves king herod and jerusalem pipol   so di king gada all di prist oga dem and di pipol wey sabi di law kon ask dem wer una tink sey dem go for born kraist   dem kon ansana for betlehem wey dey judea jos as profet isaia rite sey   betlehem pipol una wey smol pas for all di pipol wey dey rule juda na from among una di pesin wey go lid all my pipol for izrel go from kom   den herod kon kol di wise men go kona mak dem for tel am wen dem si di star   e kon sey mak una go luk for di pikin wel wel wen una don si am mak una kom tel mi so dat mi tu go go woship am   wen di king tok finish di wise men kon dey go and di star wey dem si bifor kon dey lid dem ontil e stop on top di haus wer di pikin dey   wen dem si di stardem kon dey hapi dem enta di haus si di pikin wit en mama kon nil dan woship am den dem opun dia bag kon gi am som gifts wey bi goldfrankincence and myrrh   bikos god warn dem for dream mak dem nor go bak go mit herod dem kon pas anoda road go dia haus   wen di wise men don go god angel kon tel josef for dream get up kari di pikin and en mama run go egypt mak una stay der ontil i go tel yu wetin una go du bikos herod won kil di pikin   dat same nite josef wak up kari di pikin and en mama kon run go egypt   dem stay der til herod diedis tin mak wetin god profet tok hapun sey i kol my pikin komot from egypt   wen herod si sey di wise men disiv am e ves wel wel so e send sojas mak dem go kil all di boys wey don rish tu years kom dan bikos e don rish tu years wen di wise men kom mit am sey dem si di star  dis won mak wetin profet jeremia tok hapun sey   pipol hear krai and shaut for rama rashel dey krai for en pikin dem wey don die and nortin wey pipol tok fit mak en heart strong   afta herod die god angel apier to josef for dream wen e stil dey egypt   kon tel am mak yu get up kari di pikin and en mama go izrel bikos di pesin wey won kil am don die   so e kari di pikin and en mama go bak to izrel   bot wen e hear sey arkelaus dey rule for judea afta herod en papa don die josef kon fear to go der afta god don warn am for dream e kon go galili  wen e rish nazaret e kon stay der dis won mak wet in profet jeremia tok hapun sey dem go sey jisos kraist na nazaret e from kom ,
data/pidgin/wav/B01___03_Matthew_____PCMTSCN2DA.wav,for dat taim jon di baptist dey prish insaid desert for judea sey mak una turn from sin kom mit god bikos god kindom don near   na dis jon profet isaia tok abaut sey won pesin dey shaut insaid desert sey mak una mak god road strate   jon wear klot wey dem yuz camel hair make yuz leda belt tie waist and na locust and honi for bush e dey chop   pipol from jerusalem judea and all di tawn wey dey near jordan kon dey run go mit am  and e kon baptaiz dem insaid jordan riva afta dem konfes dia sins   bot wen e si meni farisi and sadusi pipol dey kom mak e baptaiz dem e kon tel dem una snake shildren hu warn una abaut god jojment wey dey kom   naw mak una du wetin go show sey una don turn from sin kom mit god   mak una nor tink sey una don fri bikos una sey abraham na awa papa mak i tel una god fit turn all dis stone to abraham shildren naw sef dem don put di axe for di tri botom and eni tri wey nor bear beta frut dem go kut am trow insaid fire   i dey baptaiz una wit wota mak una for turn from sin kom mit god bot di pesin wey go kom afta strong pas mi i nor big rish to luz di rope wey dey en shu na im go baptaiz una wit holi spirit and fire di fan wey e go tak blow kanda from corn dey en hand and e go burn di dirti for fire wey nor dey kwensh   jisos kom from galili mak jon for baptaiz am for jordan riva   bot jon won kon stop am sey na yu sopoz baptaiz mi insted yu kom mit mi mak i baptaiz yu   jisos ansa mak e bi so naw e beta mak wi du evritin wey god wont so jon kon baptaiz am   as jisos dey kom out from di wota afta jon don baptaiz am hevun opun and jon kon si god spirit wey bi laik dove stay on top jisos head naim won vois from hevun kon sey dis na my pikin wey i luv and e dey mak bele swit mi ,
data/pidgin/wav/B01___04_Matthew_____PCMTSCN2DA.wav,di holi spirit tak jisos go insaid desert mak devol for tempt am afta jisos don fast for forti days and forti nites e kon dey hungri   den devol kon mit am sey if yu bi god pikin komand dis stone mak e turn to bread   jisos kon ansa god wod sey nor bi onli fud man go tak sovaiv bot na wit evri wod wey god tok   den devol show jisos di tawn wey dey holi kon mak am stand on top di place wey high pas for di tempol  and e tel jisos if yu rili bi god pikin jump go dan bikos dem rite for god wod sey god go komand en angels mak dem du evritin for yu and dem go kash yu mak yor leg nor nak stone   jisos ansa am god wod sey mak yu nor trai god wey bi yor oga   den devol tak jisos go won mountin wey high wel wel kon show am all di kindom for dis wold and all di beta tins insaid am   devol kon tel am i go giv yu all dis tins if yu go fal for groun woship mi   jisos ansa komot here devol bikos dem rite for god wod sey na onli god wi sopoz to serv and woship   so devol kon liv jisos and god angels kon bigin help am   wen jisos hear sey dem don put jon insaid prizin e kon go bak to galili   from der jisos komot from nazaret go kapanum wey near di sea wer zebulun and naphtali pipol dey stay   so dat wetin profet isaia tok go hapun   zebulun and naphtali di place wer riva for kros jordan go galili wer pipol wey nor bi ju dey stay   una wey dey daknes don si big lite and una wey don nearli die don get life   from dat taim jisos bigin prish sey mak una turn from sin kom mit god bikos god kindom don kom mit una   as jisos dey waka for galili wotasaid e si tu brodas saimon wey dem dey kol pita and andru en broda dem dey trow net insaid di riva dey kash fish  jisos kon tel dem mak una folo mi and i go mak una kash pipol   at wons dem liv dia net kon folo jisos as jisos komot from der e kon si tu brodas james and jon wit zebedi dia papa dey ripair net insaid dia boat den jisos kol di brodas   kwik kwik dem run liv dia papa insaid di boat kon folo jisos   jisos kon dey waka for galili dey tish insaid dia sinagog e prish abaut god kindom and dey heal pipol wey get difrendifren diziz and siknes   so di news abaut jisos kon spread go evriwer for syria dem kon bring pipol wey nor wel wey nor fit waka pipol wey devol dey wori and di pipol wey dim on dey insaid dem kom mit am and e heal all of dem   meni pipol from galili dekapolis jerusalemjudea and pipol wey dey stay near jordan riva kon folo am ,
data/pidgin/wav/B01___05_Matthew_____PCMTSCN2DA.wav,wen jisos si di pipol e kon klimb go di mountin top and en disaipols folo am afta e sidan   e kon bigin tish dem sey   god go bless una wey dey poor for spirit na una go get hevun   god go bless una wey dey mourn bikos e go mak una hapi   god go bless una wey nor dey kari bodi up una go enjoy en promis for dis wold   god go bless una wey dey laik to du gud tins e go giv una evritin wey una wont   god go bless una wey dey sori for pipol una go risiv mesi   god go bless una wey get pure heart na una go si god   god go bless una wey dey mak peace pipol go kol una god shildren   god go bless una wey dey sofa bikos una dey du wetin dey rite na una go enjoy god kindom for hevun god go bless una wey pipol dey kos dey sofa and lai for una head bikos of mi   mak una hapi and mak bele swit una bikos na big tin dey wait una for hevun mak una rimemba sey na so di profets wey kom bifor una sofa tu   na una bi salt for dis eart bot if salt nor get taste haw e go bi for pipol mout e beta mak dem trowey am and mak pipol mash am   na una bi lite for dis wold and tawn wey dey on top mountin nor dey hide  pesin nor dey lite lamp kon kova am wit bazin insted e go put am for wer evribodi wey dey insaid di haus go si am   laik dat tu mak yor lite shine wel wel for wer pipol dey so dat dem go si di gud tins wey yu dey du wey go mak dem praiz yor papa wey dey hevun   mak una nor tink sey i kom spoil mosis law and di tins wey di profets tish nor bi so misef kom obey dem   i tel una tru wod bifor dis wold go end evritin wey dey insaid di law ivun di smol smol won go hapun   so enibodi wey nor du wetin god komand and dey tish odas to du as e dey du naim go smol pas for god kindom bot pesin wey obey god and tish odas to du wetin di law tok na big pesin e go bi for god kindom   i tel yu di trut if di gud wey yu du nor beta pas wetin di farisi and di pipol wey dey tish di law du yu nor go fit enta god kindom yu hear as god tel awa papa dem bifor bifor sey nor kil and enibodi wey kil god go joj am   bot i tel una enibodi wey ves for en broda god go joj am tuenibodi wey kos en broda go face di konsol and enibodi wey kol pesin mumu go go hell fire   if yu tak gift go altar and yu kon rimemba sey yor broda get bad bele for yu   mak yu liv di gift for di altar first go setol wit yor broda den yu go fit kom bak kon giv yor gift   kwik setol wit hu dey akiuz yu bifor una rish kourt if not e go giv yu to di joj and di warda go trow yu insaid prizin   i tel una di trut yu nor go komot from dat trobol ontil yu pay all di moni   yu hear wey pipol sey mak yu nor slip wit hu yu nor mari   bot i dey tel una naw sey enibodi wey luk wuman kon get di maind to slip wit am don alredi komit sin for en heart   if yor rite eye go mak yu sin mak yu plok am komot e beta sey won part for yor bodi nor dey dan sey all yor bodi enta hell fire   if yor rite hand go mak yu du bad tin mak yu kut am trowey e beta sey won part for yor bodi nor dey dan sey all yor bodi enta hell fire pipol dey sey enibodi wey driv en wife must gi am paper sey e nor won mari am again   bot i dey tel una naw sey enibodi wey driv en wife komot from marage wey nor bi sey di wuman slip wit anoda man don mak di wuman komit adultri and eni man wey mari di wuman don komit adultri tu   again yu don hear sey dem tel pipol bifor bifor sey mak yu nor break yor promis bot du wetin yu promis god   bot i dey tel una naw sey mak una nor eva yuz hevun swear at all bikos na god throne e bi  or wit eart bikos naim god dey put en leg or yuz jerusalem bikos na di big king tawn e bi   nor ivun yuz yor head swear bikos yu nor fit mak won singol hair white or blak   wen yu sey yes mak yu min am and wen yu sey no mak yu min am tu eni oda tin wey yu tok pas dis na devol e from kom   una hear sey enitin enibodi du una mak una du am bak   bot i tel una mak una nor fite if enibodi slap yor face turn di oda side gi am tu if enibodi drag yor shirt wit yu mak yu gi am yor koat join and if enibodi fos yu waka won mile mak yu folo am waka tu mile   giv pipol enitin wey dem ask from yu and nor driv enibodi wey kom boro somtin from yu   una hear sey mak una luv una nebor and hate una enemi   bot i tel una naw sey mak una luv una enemis and pray for pipol wey dey sofa una so dat una go bi laik una papa for hevun wey dey alow sun to shine and rain to fal on top bad and gud pipol   if una luv onli di pipol wey luv una wetin una go gain na so bad pipol dey du tuabi nor bi so   if una dey grit onli una brodas una nor beta pas odas bikos pipol wey nor no god stil dey du laik dat abi nor bi so   so mak una dey pafet as una papa wey dey for hevun pafet ,
data/pidgin/wav/B01___06_Matthew_____PCMTSCN2DA.wav,mak una nor dey du gud bikos una wont mak pipol si una if una du so god nor go pay una for di gud wey una du   enitiam una giv somtin to pipol mak una nor show unasef as pritendas dey du for dia sinagog and road so dat oda pipol go praiz dem i tel una tru wod dem don alredi get dia riwod   bot wen una dey giv mak una nor let una left hand no wetin una rite hand giv so dat una gift go dey sikrit and una papa wey dey si for sikrit go riwod una for pipol present   enitiam wey una dey pray mak una nor du laik pipol wey dey pritend wey laik to dey stand pray insaid sinagog and for road so dat pipol go si dem i tel una tru wod dem don alredi get dia riwod   bot wen una dey pray mak una go insaid room klose di door and pray to una papa for sikrit and una papa wey dey si for sikrit go riwod una for pipol present   wen una dey pray mak una nor tok won wod meni taims as pipol wey dey serv juju dey du bikos dem tink sey dia juju go hear dem wen dia tok plenti  mak una nor bi laik dem una papa no wetin una nid bifor una bigin ask am   so mak una pray laik dis awa papa wey dey for hevun wi praiz yor name mak yor kindom kom mak wetin yu wont hapun for dis wold as e bi for hevun   giv us di fud wey wi go chop evriday forgiv us all di bad bad tins wey wi don du as wi sef dey forgiv odas di bad tins wey dem du us   nor alow us enta temtashon bot mak yu save us from bad tins   if una forgiv oda pipol di bad tins wey dem du una una papa wey dey for hevun go forgiv una tu   bot if una nor forgiv odas una papa sef nor go forgiv una   wen una dey fast mak una nor skwiz una face laik pipol wey dey pritend so dat pipol go si sey dem dey fast i tel una tru wod dem don alredi get dia ful riwod   bot wen una dey fast mak una wosh and rub pomade for una face   so dat odas nor go no sey una dey fast bot onli una papa wey dey for sikrit go no and una papa wey dey si for sikrit go riwod una for pipol present mak una nor jos gada propati for dis wold bikos ant go chop dem or dem go rust or tif fit enta insaid di haus tif dem   bot mak una gada beta tins for unasef for hevun wer ant nor go fit chop dem and dem nor go rust and tif nor go fit enta   bikos wer una properti dey na der una heart go dey tu   na eye bi di lite for pesin bodi if pesin eye dey okay lite go ful en bodi bot if pesin eye blind den daknes go ful en bodi if di lite wey dey insaid una na daknes di daknes big wel wel   nobodi go fit serv tu oga e go hate won kon luv di oda won or e go serv won wit all en heart and nor respet di oda won nobodi go fit serv god and moni for di same taim   so i tel una mak una nor wori abaut una life wetin una go chop or drink and wetin una go wear for bodi life nor big pas fud abi bodi nor beta pas klot   mak una luk di birds wey dey flai for skai dem nor dey plant or put enitin wey dem gada insaid store bot una papa for hevun dey fid dem una nor beta pas dem   hu among una wey dey wori go fit add won hour join en life   why una dey wori abaut klot wey una go wear mak una tink haw flawa dey grow for field dem nor dey wok or mak klot wey dem dey wear   i tel una tru wod ivun solomon upon all di moni wey e get e nor wear klot wey fine rish di wons wey dis flawa dem dey wear   if god mak gras fine laik dis gras wey una go si today and tumoro dem go trow am for fire e nor go dress una pas dem una fate smol wel wel o o so mak una nor wori kon dey sey wetin wi go chop or wetin wi go drink or wetin wi go wear   na dis kaind tins pipol wey nor no god dey porshu and una papa for hevun no sey una nid dem   bot mak una first du di gud tins wey god wont and evri oda tin go bi una own   so mak una nor wori abaut tumoro bikos tumoro get en own wahala today trobol don du ,
data/pidgin/wav/B01___07_Matthew_____PCMTSCN2DA.wav,mak una nor dey joj pipol enihaw so dat god nor go joj una bikos na as una joj na so god go tak joj una and as una du oda pipol na so dem go du una tu   why yu dey si di smol dirti wey dey yor broda eye bot yu nor dey si di big wud wey dey for yor own eye   haw yu won tak tel yor broda sey mak i rimov di dirti wey dey yor eye wen big wud dey yor own   yu wey dey pritend first rimov di big wud wey dey yor eye den yu go fit si di smol dirti for yor broda own   mak una nor giv dog wetin bi god own or trow yor gold giv pig bikos dem go mash am wit legturn face yu den kon tear yu to pieces   wen yu ask for somtin god go giv am to yu wen yu luk for somtin yu go si am and wen yu knok di door go opun for yu   enibodi wey ask for somtin go get am enibodi wey dey faind somtin go si wetin e dey faind and pesin wey knok doordem go opun for am   e get eni of una wey en pikin ask am for bread and e kon gi am stone   or if di pikin ask for fish yu go gi am snake   if yu wey bad fit giv yor pikin gud tin yu tink sey god wey dey hevun nor go giv beta tin to pipol wey ask am   bikos of dis mak yu trit pipol as yu wont mak dem trit yu bikos na so dem rite am for di profets and for mosis law   mak yu pas di smol gate enta bikos di gate wey pipol go pas go sofa wide wel wel and meni pipol dey waka enta bot di gate wey pipol dey pas enta life smol wel wel and e hard to enta and na onli few pipol go fit si am   mak yu shine yor eye bikos lai lia profets go kom laik ship bot for insaid dia heart dem bi wiked anima wey dey kil  yu go no dem wit wetin dem dey du pipol nor dey gada grape or fig from shuku shuku   so tu evri gud tri go bear gud frut bot bad tri go bear bad frut   gud tri nor go fit bear bad frut and bad tri nor go fit bear gud frut   eni tri wey nor bear gud frut dem go kut am dan kon trow am insaid fire   so yu go no di lai lia profets wit wetin dem dey du   nor bi evribodi wey dey kol god oga oga go enta god kindom bot na onli di pipol wey dey du wetin my papa for hevun wont   for dat day wey god go joj evribodi meni pipol go sey oga wi yuz yor name prish god mesage driv meni dimon komot from pipol bodi and du meni mirakol   dat taim i go sey i nor no yu mak yu komot from wer i dey yu wey wiked wel wel   enibodi wey hear my wod and du wetin i tok e bi laik wise man wey build en haus on top rock   wen rain fal wota kon ful di groun den strong briz kon blow di haus e nor go fal bikos dem build am on top rock   bot enibodi wey hear my wod and e nor du am e bi laik foolish man wey build en haus on top sand   wen rain fal wota kon ful di groun den strong kon briz blow di haus na wons e go fal skata for groun afta jisos don tok all dis tins di pipol kon sopraiz haw e dey tish   bikos e tish dem laik pesin wey get authoriti and nor bi as dia law tishas dey du ,
data/pidgin/wav/B01___08_Matthew_____PCMTSCN2DA.wav,afta jisos kom dan from di mountin plenti pipol kon folo am won lepa kon mit am nil dan for en front kon sey oga if yu wont yu go fit heal mi so dat my bodi go wel   jisos tosh di man kon sey yes i wont mak yu wel at wons di siknes komot from di man bodi   den jisos tel am nor tel enibodi bot go mit di prist mak e luk yu afta go giv di offrin wey mosis komand wen jisos enta kapanum won roman ofisa kon mit am dey beg mak e help am   di ofisa sey oga my savant dey wey nor wel for haus e nor fit get up and en bodi dey pain am wel wel jisos kon ansa i go kom heal am   bot di ofisa sey oga i nor big rish hu yu go enta en haus insted jos tok and my savant go wel   mi sef i bi man wey get oga and i stil get sojas wey dey unda mi if i komand won sey mak e go e go go if i komand anoda won sey mak e kom e go kom and if i komand my savant mak e du dis tin e go du am   wen jisos hear wetin e tok e sopraiz den e tel di pipol wey dey folo am i tel una tru wod i neva si enibodi wey get dis kaind fate for izrel   meni pipol from east and west go kom folo abraham izik and jakop chop insaid god kindom  bot dem go trow di pipol wey sopoz enta di kindom for daknes wer dem go dey krai and grind dia tit den jisos kon tel di ofisa go since yu biliv na so e go bi for yu na dat same taim di savant wel   wen jisos enta pita haus e kon si sey pita wife mama nor wel   den e tosh di wuman and di fiva komot from en bodi so di wuman get up kon bigin serv dem   wen evenin rish dem bring meni pipol wey dimon dey insaid dem kom mit jisos e driv di wiked spirits komot kon heal all di pipol wey nor wel   dis won mak wetin profet isaia tok bi tru e rimov awa siknes and kari awa diziz komot   wen jisos si plenti pipol gada am e kon komand en disaipols mak dem kros go di oda side for di riva   won law tisha kon tel jisos tisha i go folo yu go eniwer wey yu dey go   jisos kon ansa am rabbit and bird get dia own haus bot man pikin nor get wer e go fit res en head   anoda disaipol kon sey oga mak i first go bere my papa   jisos ansa am folo mi mak doz wey don die bere dia dead bodi   as jisos enta di boat en disaipols kon folo am   at wons strong briz kon dey blow for di sea and wave won sink di boat bot jisos kraist dey slip   so en disaipols wak am kon sey oga save us na die wi dey die so o o   jisos ansa dem una fate smol o o wetin mak una dey fear den e get up komand di briz and di wave sey mak dem stop and evriwer kon kwayet at wons   di men sopraiz wel wel kon dey ask ish oda wish kaind man bi dis ivun briz and wave dey obey am wen jisos rish di oda side wer gadarene pipol dey stay tu men wey get dimonrun from di beria groun kom mit am nobodi dey fit pas dat road bikos di men wiked wel wel   di dimons kon hala god pikin yu nor go liv usabi yu kom sofa us wen taim neva rish   for wer dem dey plenti pig dey chop near der den di dimons kon beg jisos if yu driv us komot mak yu send us go enta insaid di pigs   so jisos tel dem mak una go at wons dem kon komot enta insaid di pigs and all di pigs rush go enta di rivakon die   di pipol wey dey luk di pigs run go di tawn kon tel pipol evritin wey hapun to di men wey get dimons den evribodi for di tawn kon dey faind jisos wen dem si am dem kon beg am mak e komot from dia aria ,
data/pidgin/wav/B01___09_Matthew_____PCMTSCN2DA.wav,jisos enta boat kon kros go en home tawn for di oda side some pipol kon bring won man wey nor fit waka kom mit am wen jisos si as dia fate strong rish e kon tel di man wey nor fit waka my pikin mak yu nor fear god don forgiv yu all yor sins den som law tishas kon dey tink for dia maind sey si as dis man dey shalenge god   wen jisos no wetin dem dey tink e kon ask dem wetin mak una dey tink dis kaind bad tin for una maind wish won eazi pas to tok i forgiv yu yor sins or stand up mak yu dey waka   bot mak una no sey man pikin get pawa for dis wold to forgiv pipol dia sin so e kon tel di man wey nor fit waka stand up kari yor bed mak yu dey go yor haus   den di man stand up kon waka go en haus   wen di pipol si wetin hapun dem sopraiz wel wel kon bigin praiz god wey giv dis kaind pawa to humanbin   as jisos komot from der e si won man wey en name bi matiu wey sidan for wer dem for dey pay tax jisos kon tel am folo mi at wons di man kon get up folo am   as jisos dey chop for matiu haus meni tax koletors and sinas folo en and en disaipols dey chop tu   wen di farisi si wetin dey hapun dem kon bigin ask di disaipols wetin mak una tisha dey folo tax koletors and sinas dey chop   wen jisos hear wetin dem dey tok e kon ansa dem pesin wey wel nor nid doktor to kior am bot na onli hu nor wel nid am   mak una go learn wetin dis wod min na mesi i wont nor bi sakrifais na sinas i kom save nor bi gud pipol   jon disaipols kom mit jisos kon ask am why e bi sey wi and di farisi pipol dey fast evritaim and yor disaipols nor dey fast   jisos kon ansa pipol wey kom marage dey mourn if di man wey dey mari dey wit dem e nor dey hapun laik dat bot di day go kom wen dem go tak di man wey dey mari komot from wer dem dey dat taim dem go fast   nobodi dey tak new klot pash di hole wey dey for old klot bikos wer dem pash for di old klot go tear more and di hole wey go dey der go big pas di won wey dey bifor  nobodi go pour new wine insaid old wine bag bikos di bag go burst and di wine go pour trowey den di wine bag go tear na dis mak dem dey put new wine insaid new wine bag so dat di wine nor go trowey and di wine bag nor go tear   as jisos dey tok dis tins won oga kom nil dan for en front kon sey my dota jos die mak yu kom tosh am and e go wak up   so jisos and en disaipols kon folo am   won wuman wey blood dey rush komot for en bodi for twef years kon tosh jisos klot   bikos di wuman tink for en maind sey if i go fit tosh en klot kona i go wel  wen jisos turn round si di wuman e kon tel am my pikin mak yu nor wori yor fate don mak yu wel from dat taim di wuman kon wel   wen jisos enta di oga haus e si pipol dey play mizik and plenti pipol dey mak nois for der   e kon tel dem mak evribodi komot di girl nor die e jos dey slip den dem kon bigin laff am   afta di pipol don go outsaid jisos go hol di girl for hand and di girl kon stand up   pipol kon bigin tok wetin hapun so for evriwer   as jisos komot for der tu blind men kon folo am dey shaut david pikin mak yu sori for us wen jisos don enta di haus di tu blind men kom mit am den e ask dem una biliv sey i fit mak una si dem kon ansa yes yu fit   den jisos tosh dia eyes kon sey mak e hapun to una as una fate strong rish   at wons dia eyes kon opun and dem kon bigin si jisos kon warn dem sey mak una nor tel enibodi wetin hapun so   bot dem kon go evriwer bigin tok abaut di tin wey jisos du for dem   as dem komot som pipol bring won man wey get dimon and e nor fit tok kom mit jisos   wen jisos don driv di dimon komot di man kon bigin tok di pipol wey gada for di place sopraiz welwel and dem kon sey nobodi don si dis kaind tin for izrel bifor   bot di farisi pipol sey na devol pawa jisos dey yuz tak driv dimon komot from piopl bodi   jisos waka go all di tawn and vilage dey prish di gud news abaut god kindom for dia sinagog and dey heal difren diziz and siknes   wen e si haw pipol plenti rish e kon sori for dem bikos nobodi dey to help dem and dem kon dey waka enihaw laik ship wey nor get hu dey luk dem   den e tel en disaipols wetin pipol go havest plenti wel wel bot di pipol wey go du di wok nor plenti rish   so mak una pray mak di oga wey get di farm send pipol wey go wok for en farm kom ,
data/pidgin/wav/B01___10_Matthew_____PCMTSCN2DA.wav,jisos kol en twef disaipols kon giv dem pawa to driv dimons and heal all diziz and siknes   dis na di twef disaipols name saimon pita andruwey bi pita broda james wey bi zebedi pikin and en broda jon   filip and batlomi tomas matiu wey bi tax koletor james wey bi afius pikin and tadius   saimon wey bi zilot pesin wey dey fite for en kontri and judas iskarot wey sel jisos kraist   jisos send dem and tel dem mak una nor go gentai aria go prish and mak una nor enta samaria pipol tawn   bot mak una go mit izrel pipol wey bi god ship wey loss   as una dey go mak una prish di mesage sey god kindom don near   mak una heal pipol wey nor wel wak pipol wey don die kior lepas and driv dimons komot from pipol bodi na fri god giv una dis pawa so mak una gi am fri to oda pipol tu   mak una nor kari eni moni folo bodi   or kari bag or extra dress sandal or wokin stick bikos di pipol wey una go mit go giv una evritin wey una nid wen una enta eni tawn or vilage mak una luk for pesin wey redi to risiv una for en haus mak una stay wit am ontil una komot from dat tawn   eni haus wey una enta mak una grit di pipol wey dey insaid   and if di pipol insaid di haus welkom una mak una peace stay wit dem bot if dem nor welkom una una peace go kom bak to una   if di pipol nor welkom or listin to una mesage mak una shake dia sand komot from una leg as una dey liv dat haus or tawn  i tel una tru wod e go beta for sodom and gomorra pipol for jojment day pas di pipol wey dey dat tawn   si i dey send una go laik ship for wer plenti wiked animas dey so mak una dey wise laik snake and gentol laik dove mak una redi bikos pipol go arres una kari go kourt and flog una for dia sinagog   bikos of mi dem go drag una go mit rulas and kings so dat una go tok abaut mi giv dem and di gentai pipol mak una nor wori abaut wetin una go tok wen dem drag una go kourt bikos god go giv una wetin to tok wen dat taim rish nor bi una go dey tok bot na una papa spirit go dey yuz una mout tok   broda go sel en own broda giv pipol mak dem kil am and na so papa go sel en own pikin tushildren go fite and kil dia papa and mama   evribodi go hate una bikos of mi bot enibodi wey fit bear rish di end god go save am   enitiam dem sofa una for won tawn bikos of mi mak una run go anoda tawn i tel una tru wod una nor go run pas all di tawn for izrel bifor man pikin go kom bak   nobodi big pas en tisha and no savant big pas en oga   e gud mak disaipol bi laik en tisha and mak savant bi laik en oga if dem dey kol oga for en haus belzibub wey min dimon oga wot of di pipol wey dey di haus dem nor go kol dem bad name tu   mak una nor fear man bikos nortin wey hide wey nor go kom out and no sikrit wey pipol nor go no   wetin i tel una for daknes mak una tok am for day taim and wetin i tok for una ear mak una shaut am mak pipol hear   mak una nor fear hu go fit kil di bodi and nor fit kil di soul insted mak una fear god wey fit distroi pesin soul and bodi for hell fire   nor bi won penni dem dey sel tu sparo bird bot no one go fal rish groun esept god alow am   si god no haw meni hair dey for una head   so mak una nor fear una beta pas meni sparo enibodi wey tok for publik sey en no mina so mi tu go tok abaut am giv my papa for hevun   bot enibodi wey denai mi for publik misef go denai am for hevun   mak una nor tink seyi bring peace kom dis wold no na war i bring   i kom mak boy pikin nor gri wit en papa and mak girl nor gri wit en mama wife nor go gri wit en husban mama   and pesin wos enemi go bi en own famili pipol   enibodi wey luv en papa mama and pikin pas mi nor go fit bi my disaipol  and enibodi wey nor kari en kros folo mi nor go fit bi my disaipol   enibodi wey hol en life tait go luz am bot enibodi wey luz en life bikos of mi go gain am   enibodi wey welkom yu welkom mi tu and enibodi wey welkom mi welkom di pesin wey send mi enibodi wey risiv profetbikos na profet e bi go get profet riwod enibodi wey risiv gud pesin bikos na gud pesin e bi go get gud pesin riwod   and enibodi wey giv kold wota to di pesin wey smol pas among my disaipols i tel una tru wod e nor go eva luz en riwod ,
